city,temperature_celsius,humidity,wind speed,datetime
Texas,21.69,100,3.09,2024-06-20 13:00:03
London,20.78,48,3.6,2024-06-20 13:00:03
Dubai,40.54,40,3.6,2024-06-20 14:00:07
Texas,21.84,100,3.09,2024-06-20 14:00:07
London,21.31,47,4.63,2024-06-20 14:00:07
Dubai,38.54,47,4.12,2024-06-20 15:00:05
Texas,22.72,94,4.63,2024-06-20 15:00:05
London,21.88,45,4.63,2024-06-20 15:00:05
Dubai,37.77,50,4.12,2024-06-20 16:00:04
Texas,23.89,88,4.63,2024-06-20 16:00:04
London,22.17,44,4.12,2024-06-20 16:00:05
Dubai,37.0,53,2.57,2024-06-20 17:00:02
Texas,24.78,83,4.12,2024-06-20 17:00:02
London,21.92,44,3.6,2024-06-20 17:00:03
Dubai,36.77,56,3.6,2024-06-20 18:00:03
Texas,25.07,83,5.14,2024-06-20 18:00:12
London,21.55,49,2.57,2024-06-20 18:00:13
Dubai,37.0,56,3.09,2024-06-20 19:00:03
Texas,26.1,78,4.63,2024-06-20 19:00:03
London,21.59,51,4.12,2024-06-20 19:00:18
Dubai,36.23,56,2.57,2024-06-20 20:00:03
Texas,26.25,78,5.14,2024-06-20 20:00:18
London,20.24,56,6.17,2024-06-20 20:00:18
Dubai,38.46,60,6.17,2024-06-21 14:00:03
Texas,21.84,100,2.57,2024-06-21 14:00:11
London,23.65,44,5.14,2024-06-21 14:00:11
Dubai,39.23,37,3.6,2024-06-21 16:03:03
Texas,25.07,78,3.6,2024-06-21 16:03:03
London,23.72,43,5.14,2024-06-21 16:03:03
Dubai,40.0,35,2.06,2024-06-21 17:00:05
Texas,26.1,69,4.63,2024-06-21 17:00:05
London,23.37,45,4.63,2024-06-21 17:00:05
Dubai,38.0,41,2.06,2024-06-21 19:00:02
Texas,28.89,54,4.12,2024-06-21 19:00:08
London,21.3,52,6.69,2024-06-21 19:00:08
Dubai,37.77,41,2.06,2024-06-21 20:00:04
Texas,29.19,54,4.63,2024-06-21 20:00:04
London,19.77,56,6.69,2024-06-21 20:00:05
Dubai,37.77,50,3.09,2024-06-21 21:00:10
Texas,30.22,51,4.63,2024-06-21 21:00:12
London,17.55,65,5.66,2024-06-21 21:00:12
Dubai,35.77,63,1.03,2024-06-21 22:00:03
Texas,30.96,45,6.17,2024-06-21 22:00:03
London,16.72,68,5.14,2024-06-21 22:00:03
Dubai,38.09,39,1.54,2024-06-22 20:00:04
Texas,30.22,51,4.63,2024-06-22 20:00:04
London,20.89,50,4.63,2024-06-22 20:00:04
Dubai,33.82,59,3.03,2024-06-22 21:05:28
Texas,31.1,45,4.12,2024-06-22 21:05:29
London,19.47,57,5.14,2024-06-22 21:05:29
Dubai,36.0,56,3.6,2024-06-22 22:00:04
Texas,31.25,45,4.63,2024-06-22 22:00:11
London,17.74,62,2.24,2024-06-22 22:00:11
Dubai,34.77,63,4.12,2024-06-22 23:00:04
Texas,32.13,43,5.14,2024-06-22 23:00:04
London,16.63,66,0.89,2024-06-22 23:00:04
Dubai,43.0,30,5.66,2024-06-23 13:00:03
Texas,21.69,88,3.09,2024-06-23 13:00:03
London,22.92,55,3.13,2024-06-23 13:00:03
Dubai,43.0,23,5.66,2024-06-23 14:00:03
Texas,23.16,78,3.6,2024-06-23 14:00:18
London,22.8,57,3.09,2024-06-23 14:00:19
Dubai,43.0,23,5.14,2024-06-23 15:00:03
Texas,25.82,73,4.12,2024-06-23 15:00:03
London,23.06,58,3.6,2024-06-23 15:00:03
Dubai,43.0,22,3.6,2024-06-23 16:00:04
Texas,27.87,61,4.12,2024-06-23 16:00:04
London,23.33,57,3.09,2024-06-23 16:00:05
Dubai,42.0,20,2.57,2024-06-23 17:00:07
Texas,29.49,48,3.6,2024-06-23 17:00:07
London,23.31,58,2.57,2024-06-23 17:00:07
Dubai,41.54,19,2.06,2024-06-23 18:00:03
Texas,30.67,42,3.6,2024-06-23 18:00:03
London,23.2,59,3.09,2024-06-23 18:00:03
Dubai,40.86,20,1.54,2024-06-23 19:00:24
Texas,31.4,40,3.09,2024-06-23 19:00:24
London,22.91,61,1.79,2024-06-23 19:00:24
Dubai,40.09,21,1.54,2024-06-23 20:00:03
Texas,32.13,37,3.6,2024-06-23 20:00:03
London,21.97,66,3.6,2024-06-23 20:00:03
Dubai,40.09,27,3.09,2024-06-23 21:00:03
Texas,33.16,35,2.06,2024-06-23 21:00:03
London,21.71,66,3.09,2024-06-23 21:00:03
Dubai,37.0,53,3.09,2024-06-23 22:00:04
Texas,33.16,35,0.0,2024-06-23 22:00:08
London,20.52,73,3.09,2024-06-23 22:00:08
Dubai,37.09,47,2.57,2024-06-23 23:00:03
Texas,34.04,33,5.14,2024-06-23 23:00:03
London,19.61,78,3.09,2024-06-23 23:00:09
Dubai,42.23,37,6.69,2024-06-24 12:00:04
Texas,21.54,83,2.06,2024-06-24 12:00:06
London,24.39,59,2.06,2024-06-24 12:00:09
Dubai,40.23,37,6.69,2024-06-24 14:00:11
Texas,23.16,83,2.06,2024-06-24 14:00:11
London,25.94,55,3.6,2024-06-24 14:00:13
Dubai,40.0,39,4.12,2024-06-24 15:08:03
Texas,27.43,74,4.63,2024-06-24 15:08:03
London,26.28,52,3.6,2024-06-24 15:08:03
Dubai,40.0,39,4.12,2024-06-24 16:00:06
Texas,28.46,69,4.12,2024-06-24 16:00:06
London,26.67,52,3.6,2024-06-24 16:00:06
Dubai,39.77,27,4.63,2024-06-24 17:00:03
Texas,29.19,65,3.09,2024-06-24 17:00:04
London,26.22,54,4.63,2024-06-24 17:00:05
